name,info
bambenek_tinba,Bambenek Consulting feed of current IPs of tinba C&Cs with 90 minute lookback
bambenek_volatile,Bambenek Consulting feed of current IPs of volatile C&Cs with 90 minute lookback
bbcan177_ms1,pfBlockerNG Malicious Threats
bbcan177_ms3,pfBlockerNG Malicious Threats
bds_atif,Artillery Threat Intelligence Feed and Banlist Feed
bi_any_0_1d,BadIPs.com Bad IPs in category any with score above 0 and age less than 1d
bi_any_1_7d,BadIPs.com Bad IPs in category any with score above 1 and age less than 7d
bi_any_2_1d,BadIPs.com Bad IPs in category any with score above 2 and age less than 1d
bi_any_2_30d,BadIPs.com Bad IPs in category any with score above 2 and age less than 30d
bi_any_2_7d,BadIPs.com Bad IPs in category any with score above 2 and age less than 7d
bi_apache-404_0_1d,BadIPs.com Bad IPs in category apache-404 with score above 0 and age less than 1d
bi_apache-modsec_0_1d,BadIPs.com Bad IPs in category apache-modsec with score above 0 and age less than 1d
bi_apache-noscript_0_1d,BadIPs.com Bad IPs in category apache-noscript with score above 0 and age less than 1d
bi_apache-noscript_2_30d,BadIPs.com Bad IPs in category apache-noscript with score above 2 and age less than 30d
bi_apache-phpmyadmin_0_1d,BadIPs.com Bad IPs in category apache-phpmyadmin with score above 0 and age less than 1d
bi_apache-scriddies_0_1d,BadIPs.com Bad IPs in category apache-scriddies with score above 0 and age less than 1d
bi_apache_0_1d,BadIPs.com Bad IPs in category apache with score above 0 and age less than 1d
bi_apache_1_7d,BadIPs.com Bad IPs in category apache with score above 1 and age less than 7d
bi_apache_2_30d,BadIPs.com Bad IPs in category apache with score above 2 and age less than 30d
bi_apacheddos_0_1d,BadIPs.com Bad IPs in category apacheddos with score above 0 and age less than 1d
bi_assp_0_1d,BadIPs.com Bad IPs in category assp with score above 0 and age less than 1d
bi_asterisk_0_1d,BadIPs.com Bad IPs in category asterisk with score above 0 and age less than 1d
bi_asterisk_2_30d,BadIPs.com Bad IPs in category asterisk with score above 2 and age less than 30d
bi_badbots_0_1d,BadIPs.com Bad IPs in category badbots with score above 0 and age less than 1d
bi_badbots_1_7d,BadIPs.com Bad IPs in category badbots with score above 1 and age less than 7d
bi_bruteforce_0_1d,BadIPs.com Bad IPs in category bruteforce with score above 0 and age less than 1d
bi_bruteforce_1_7d,BadIPs.com Bad IPs in category bruteforce with score above 1 and age less than 7d
bi_cms_0_1d,BadIPs.com Bad IPs in category cms with score above 0 and age less than 1d
bi_cms_1_7d,BadIPs.com Bad IPs in category cms with score above 1 and age less than 7d
bi_cms_2_30d,BadIPs.com Bad IPs in category cms with score above 2 and age less than 30d
bi_courierauth_0_1d,BadIPs.com Bad IPs in category courierauth with score above 0 and age less than 1d
bi_courierauth_2_30d,BadIPs.com Bad IPs in category courierauth with score above 2 and age less than 30d
bi_default_0_1d,BadIPs.com Bad IPs in category default with score above 0 and age less than 1d
bi_default_1_7d,BadIPs.com Bad IPs in category default with score above 1 and age less than 7d
bi_default_2_30d,BadIPs.com Bad IPs in category default with score above 2 and age less than 30d
bi_dns_0_1d,BadIPs.com Bad IPs in category dns with score above 0 and age less than 1d
bi_dovecot-pop3imap_0_1d,BadIPs.com Bad IPs in category dovecot-pop3imap with score above 0 and age less than 1d
bi_dovecot-pop3imap_2_30d,BadIPs.com Bad IPs in category dovecot-pop3imap with score above 2 and age less than 30d
bi_dovecot_0_1d,BadIPs.com Bad IPs in category dovecot with score above 0 and age less than 1d
bi_dovecot_1_7d,BadIPs.com Bad IPs in category dovecot with score above 1 and age less than 7d
bi_dovecot_2_30d,BadIPs.com Bad IPs in category dovecot with score above 2 and age less than 30d
bi_drupal_0_1d,BadIPs.com Bad IPs in category drupal with score above 0 and age less than 1d
bi_exim_0_1d,BadIPs.com Bad IPs in category exim with score above 0 and age less than 1d
bi_exim_1_7d,BadIPs.com Bad IPs in category exim with score above 1 and age less than 7d
bi_ftp_0_1d,BadIPs.com Bad IPs in category ftp with score above 0 and age less than 1d
bi_ftp_1_7d,BadIPs.com Bad IPs in category ftp with score above 1 and age less than 7d
bi_ftp_2_30d,BadIPs.com Bad IPs in category ftp with score above 2 and age less than 30d
bi_http_0_1d,BadIPs.com Bad IPs in category http with score above 0 and age less than 1d
bi_http_1_7d,BadIPs.com Bad IPs in category http with score above 1 and age less than 7d
bi_http_2_30d,BadIPs.com Bad IPs in category http with score above 2 and age less than 30d
bi_imap_0_1d,BadIPs.com Bad IPs in category imap with score above 0 and age less than 1d
bi_mail_0_1d,BadIPs.com Bad IPs in category mail with score above 0 and age less than 1d
bi_mail_1_7d,BadIPs.com Bad IPs in category mail with score above 1 and age less than 7d
bi_mail_2_30d,BadIPs.com Bad IPs in category mail with score above 2 and age less than 30d
bi_named_0_1d,BadIPs.com Bad IPs in category named with score above 0 and age less than 1d
bi_owncloud_0_1d,BadIPs.com Bad IPs in category owncloud with score above 0 and age less than 1d
bi_plesk-postfix_0_1d,BadIPs.com Bad IPs in category plesk-postfix with score above 0 and age less than 1d
bi_postfix-sasl_0_1d,BadIPs.com Bad IPs in category postfix-sasl with score above 0 and age less than 1d
bi_postfix-sasl_1_7d,BadIPs.com Bad IPs in category postfix-sasl with score above 1 and age less than 7d
bi_postfix-sasl_2_30d,BadIPs.com Bad IPs in category postfix-sasl with score above 2 and age less than 30d
bi_postfix_0_1d,BadIPs.com Bad IPs in category postfix with score above 0 and age less than 1d
bi_postfix_1_7d,BadIPs.com Bad IPs in category postfix with score above 1 and age less than 7d
bi_postfix_2_30d,BadIPs.com Bad IPs in category postfix with score above 2 and age less than 30d
bi_proftpd_0_1d,BadIPs.com Bad IPs in category proftpd with score above 0 and age less than 1d
bi_proftpd_1_7d,BadIPs.com Bad IPs in category proftpd with score above 1 and age less than 7d
bi_proftpd_2_30d,BadIPs.com Bad IPs in category proftpd with score above 2 and age less than 30d
bi_pureftpd_0_1d,BadIPs.com Bad IPs in category pureftpd with score above 0 and age less than 1d
bi_pureftpd_1_7d,BadIPs.com Bad IPs in category pureftpd with score above 1 and age less than 7d
bi_pureftpd_2_30d,BadIPs.com Bad IPs in category pureftpd with score above 2 and age less than 30d
bi_qmail-smtp_0_1d,BadIPs.com Bad IPs in category qmail-smtp with score above 0 and age less than 1d
bi_rdp_0_1d,BadIPs.com Bad IPs in category rdp with score above 0 and age less than 1d
bi_sasl_0_1d,BadIPs.com Bad IPs in category sasl with score above 0 and age less than 1d
bi_sasl_1_7d,BadIPs.com Bad IPs in category sasl with score above 1 and age less than 7d
bi_sasl_2_30d,BadIPs.com Bad IPs in category sasl with score above 2 and age less than 30d
bi_sip_0_1d,BadIPs.com Bad IPs in category sip with score above 0 and age less than 1d
bi_sip_1_7d,BadIPs.com Bad IPs in category sip with score above 1 and age less than 7d
bi_sip_2_30d,BadIPs.com Bad IPs in category sip with score above 2 and age less than 30d
bi_smtp_0_1d,BadIPs.com Bad IPs in category smtp with score above 0 and age less than 1d
bi_spam_0_1d,BadIPs.com Bad IPs in category spam with score above 0 and age less than 1d
bi_spam_1_7d,BadIPs.com Bad IPs in category spam with score above 1 and age less than 7d
bi_sql-attack_0_1d,BadIPs.com Bad IPs in category sql-attack with score above 0 and age less than 1d
bi_sql_0_1d,BadIPs.com Bad IPs in category sql with score above 0 and age less than 1d
bi_ssh-blocklist_0_1d,BadIPs.com Bad IPs in category ssh-blocklist with score above 0 and age less than 1d
bi_ssh-ddos_0_1d,BadIPs.com Bad IPs in category ssh-ddos with score above 0 and age less than 1d
bi_ssh-ddos_2_30d,BadIPs.com Bad IPs in category ssh-ddos with score above 2 and age less than 30d
bi_ssh_0_1d,BadIPs.com Bad IPs in category ssh with score above 0 and age less than 1d
bi_ssh_1_7d,BadIPs.com Bad IPs in category ssh with score above 1 and age less than 7d
bi_ssh_2_30d,BadIPs.com Bad IPs in category ssh with score above 2 and age less than 30d
bi_sshd_0_1d,BadIPs.com Bad IPs in category sshd with score above 0 and age less than 1d
bi_sshd_1_7d,BadIPs.com Bad IPs in category sshd with score above 1 and age less than 7d
bi_sshd_2_30d,BadIPs.com Bad IPs in category sshd with score above 2 and age less than 30d
bi_telnet_0_1d,BadIPs.com Bad IPs in category telnet with score above 0 and age less than 1d
bi_telnet_1_7d,BadIPs.com Bad IPs in category telnet with score above 1 and age less than 7d
bi_telnet_2_30d,BadIPs.com Bad IPs in category telnet with score above 2 and age less than 30d
bi_unknown_0_1d,BadIPs.com Bad IPs in category unknown with score above 0 and age less than 1d
bi_unknown_1_7d,BadIPs.com Bad IPs in category unknown with score above 1 and age less than 7d
bi_unknown_2_30d,BadIPs.com Bad IPs in category unknown with score above 2 and age less than 30d
bi_username-notfound_0_1d,BadIPs.com Bad IPs in category username-notfound with score above 0 and age less than 1d
bi_voip_0_1d,BadIPs.com Bad IPs in category voip with score above 0 and age less than 1d
bi_voip_1_7d,BadIPs.com Bad IPs in category voip with score above 1 and age less than 7d
bi_voip_2_30d,BadIPs.com Bad IPs in category voip with score above 2 and age less than 30d
bi_vsftpd_0_1d,BadIPs.com Bad IPs in category vsftpd with score above 0 and age less than 1d
bi_vsftpd_2_30d,BadIPs.com Bad IPs in category vsftpd with score above 2 and age less than 30d
bi_wordpress_0_1d,BadIPs.com Bad IPs in category wordpress with score above 0 and age less than 1d
bi_wordpress_1_7d,BadIPs.com Bad IPs in category wordpress with score above 1 and age less than 7d
bi_wordpress_2_30d,BadIPs.com Bad IPs in category wordpress with score above 2 and age less than 30d
bitcoin_blockchain_info_1d,Blockchain.info Bitcoin nodes connected to Blockchain.info.
bitcoin_blockchain_info_30d,Blockchain.info Bitcoin nodes connected to Blockchain.info.
bitcoin_blockchain_info_7d,Blockchain.info Bitcoin nodes connected to Blockchain.info.
bitcoin_nodes,"BitNodes Bitcoin connected nodes, globally."
bitcoin_nodes_1d,"BitNodes Bitcoin connected nodes, globally."
bitcoin_nodes_30d,"BitNodes Bitcoin connected nodes, globally."
bitcoin_nodes_7d,"BitNodes Bitcoin connected nodes, globally."
blocklist_de,Blocklist.de IPs that have been detected by fail2ban in the last 48 hours
blocklist_de_apache,"Blocklist.de All IP addresses which have been reported within the last 48 hours as having run attacks on the service Apache, Apache-DDOS, RFI-Attacks."
blocklist_de_bots,"Blocklist.de All IP addresses which have been reported within the last 48 hours as having run attacks on the RFI-Attacks, REG-Bots, IRC-Bots or BadBots (BadBots = it has posted a Spam-Comment on a open Forum or Wiki)."
blocklist_de_bruteforce,"Blocklist.de All IPs which attacks Joomla, Wordpress and other Web-Logins with Brute-Force Logins."
blocklist_de_ftp,Blocklist.de All IP addresses which have been reported within the last 48 hours for attacks on the Service FTP.
blocklist_de_imap,"Blocklist.de All IP addresses which have been reported within the last 48 hours for attacks on the Service imap, sasl, pop3, etc."
blocklist_de_mail,"Blocklist.de All IP addresses which have been reported within the last 48 hours as having run attacks on the service Mail, Postfix."
blocklist_de_sip,"Blocklist.de All IP addresses that tried to login in a SIP, VOIP or Asterisk Server and are included in the IPs list from infiltrated.net"
blocklist_de_ssh,Blocklist.de All IP addresses which have been reported within the last 48 hours as having run attacks on the service SSH.
blocklist_de_strongips,Blocklist.de All IPs which are older then 2 month and have more then 5.000 attacks.
blocklist_net_ua,blocklist.net.ua The BlockList project was created to become protection against negative influence of the harmful and potentially dangerous events on the Internet. First of all this service will help internet and hosting providers to protect subscribers sites from being hacked. BlockList will help to stop receiving a large amount of spam from dubious SMTP relays or from attempts of brute force passwords to servers and network equipment.
blueliv_crimeserver_last,"blueliv.com Last 6 hours Cybercrime IPs, in all categories: BACKDOOR, C_AND_C, EXPLOIT_KIT, MALWARE and PHISHING (to download the source data you need an API key from blueliv.com)"
blueliv_crimeserver_last_1d,"blueliv.com Last 6 hours Cybercrime IPs, in all categories: BACKDOOR, C_AND_C, EXPLOIT_KIT, MALWARE and PHISHING (to download the source data you need an API key from blueliv.com)"
blueliv_crimeserver_last_2d,"blueliv.com Last 6 hours Cybercrime IPs, in all categories: BACKDOOR, C_AND_C, EXPLOIT_KIT, MALWARE and PHISHING (to download the source data you need an API key from blueliv.com)"
blueliv_crimeserver_last_30d,"blueliv.com Last 6 hours Cybercrime IPs, in all categories: BACKDOOR, C_AND_C, EXPLOIT_KIT, MALWARE and PHISHING (to download the source data you need an API key from blueliv.com)"
blueliv_crimeserver_last_7d,"blueliv.com Last 6 hours Cybercrime IPs, in all categories: BACKDOOR, C_AND_C, EXPLOIT_KIT, MALWARE and PHISHING (to download the source data you need an API key from blueliv.com)"
blueliv_crimeserver_online,"blueliv.com Online Cybercrime IPs, in all categories: BACKDOOR, C_AND_C, EXPLOIT_KIT, MALWARE and PHISHING (to download the source data you need an API key from blueliv.com)"
blueliv_crimeserver_recent,"blueliv.com Recent Cybercrime IPs, in all categories: BACKDOOR, C_AND_C, EXPLOIT_KIT, MALWARE and PHISHING (to download the source data you need an API key from blueliv.com)"
bm_tor,torstatus.blutmagie.de list of all TOR network servers
bogons,"Team-Cymru.org private and reserved addresses defined by RFC 1918, RFC 5735, and RFC 6598 and netblocks that have not been allocated to a regional internet registry"
botscout,"BotScout helps prevent automated web scripts, known as bots, from registering on forums, polluting databases, spreading spam, and abusing forms on web sites. They do this by tracking the names, IPs, and email addresses that bots use and logging them as unique signatures for future reference. They also provide a simple yet powerful API that you can use to test forms when they're submitted on your site. This list is composed of the most recently-caught bots."
botscout_1d,"BotScout helps prevent automated web scripts, known as bots, from registering on forums, polluting databases, spreading spam, and abusing forms on web sites. They do this by tracking the names, IPs, and email addresses that bots use and logging them as unique signatures for future reference. They also provide a simple yet powerful API that you can use to test forms when they're submitted on your site. This list is composed of the most recently-caught bots."
botscout_30d,"BotScout helps prevent automated web scripts, known as bots, from registering on forums, polluting databases, spreading spam, and abusing forms on web sites. They do this by tracking the names, IPs, and email addresses that bots use and logging them as unique signatures for future reference. They also provide a simple yet powerful API that you can use to test forms when they're submitted on your site. This list is composed of the most recently-caught bots."
botscout_7d,"BotScout helps prevent automated web scripts, known as bots, from registering on forums, polluting databases, spreading spam, and abusing forms on web sites. They do this by tracking the names, IPs, and email addresses that bots use and logging them as unique signatures for future reference. They also provide a simple yet powerful API that you can use to test forms when they're submitted on your site. This list is composed of the most recently-caught bots."
botvrij_dst,"botvrij.eu Indicators of Compromise (IOCS) about malicious destination IPs, gathered via open source information feeds (blog pages and PDF documents) and then consolidated into different datasets. To ensure the quality of the data all entries older than approx. 6 months are removed."
botvrij_src,"botvrij.eu Indicators of Compromise (IOCS) about malicious source IPs, gathered via open source information feeds (blog pages and PDF documents) and then consolidated into different datasets. To ensure the quality of the data all entries older than approx. 6 months are removed."
bruteforceblocker,danger.rulez.sk bruteforceblocker (fail2ban alternative for SSH on OpenBSD). This is an automatically generated list from users reporting failed authentication attempts. An IP seems to be included if 3 or more users report it. Its retention pocily seems 30 days.
ciarmy,CIArmy.com IPs with poor Rogue Packet score that have not yet been identified as malicious by the community
cidr_report_bogons,"Unallocated (Free) Address Space, generated on a daily basis using the IANA registry files, the Regional Internet Registry stats files and the Regional Internet Registry whois data."
cleanmx_phishing,Clean-MX.de IPs sending phishing messages
cleanmx_viruses,Clean-MX.de IPs with viruses
cleantalk,CleanTalk Today's HTTP Spammers (includes: cleantalk_new cleantalk_updated)
cleantalk_1d,CleanTalk Today's HTTP Spammers (includes: cleantalk_new_1d cleantalk_updated_1d)
cleantalk_30d,CleanTalk Today's HTTP Spammers (includes: cleantalk_new_30d cleantalk_updated_30d)
cleantalk_7d,CleanTalk Today's HTTP Spammers (includes: cleantalk_new_7d cleantalk_updated_7d)
cleantalk_new,CleanTalk Recent HTTP Spammers
cleantalk_new_1d,CleanTalk Recent HTTP Spammers
cleantalk_new_30d,CleanTalk Recent HTTP Spammers
cleantalk_new_7d,CleanTalk Recent HTTP Spammers
cleantalk_top20,CleanTalk Top 20 HTTP Spammers
cleantalk_updated,CleanTalk Recurring HTTP Spammers
cleantalk_updated_1d,CleanTalk Recurring HTTP Spammers
cleantalk_updated_30d,CleanTalk Recurring HTTP Spammers
cleantalk_updated_7d,CleanTalk Recurring HTTP Spammers
coinbl_hosts,"CoinBlockerLists Simple lists that can help prevent cryptomining in the browser or other applications. This list contains all domains - A list for administrators to prevent mining in networks. The maintainer's file contains hostnames, which have been DNS resolved to IP addresses."
coinbl_hosts_browser,"CoinBlockerLists Simple lists that can help prevent cryptomining in the browser or other applications. A hosts list to prevent browser mining only. The maintainer's file contains hostnames, which have been DNS resolved to IP addresses."
coinbl_hosts_optional,"CoinBlockerLists Simple lists that can help prevent cryptomining in the browser or other applications. This list contains additional domains, for administrators to prevent mining in networks. The maintainer's file contains hostnames, which have been DNS resolved to IP addresses."
coinbl_ips,"CoinBlockerLists Simple lists that can help prevent cryptomining in the browser or other applications. This list contains all IPs - An additional list for administrators to prevent mining in networks. The maintainer's file contains hostnames, which have been DNS resolved to IP addresses."
cruzit_web_attacks,CruzIt.com IPs of compromised machines scanning for vulnerabilities and DDOS attacks
cta_cryptowall,"Cyber Threat Alliance CryptoWall is one of the most lucrative and broad-reaching ransomware campaigns affecting Internet users today. Sharing intelligence and analysis resources, the CTA profiled the latest version of CryptoWall, which impacted hundreds of thousands of users, resulting in over US $325 million in damages worldwide."
cybercrime,CyberCrime A project tracking Command and Control.
darklist_de,darklist.de ssh fail2ban reporting
datacenters,"Nick Galbreath This is a list of IPv4 address that correspond to datacenters, co-location centers, shared and virtual webhosting providers. In other words, ip addresses that end web consumers should not be using."
dataplane_dnsrd,DataPlane.org IP addresses that have been identified as sending recursive DNS queries to a remote host. This report lists addresses that may be cataloging open DNS resolvers or evaluating cache entries.
dataplane_dnsrdany,DataPlane.org IP addresses that have been identified as sending recursive DNS IN ANY queries to a remote host. This report lists addresses that may be cataloging open DNS resolvers for the purpose of later using them to facilitate DNS amplification and reflection attacks.
dataplane_dnsversion,DataPlane.org IP addresses that have been identified as sending DNS CH TXT VERSION.BIND queries to a remote host. This report lists addresses that may be cataloging DNS software.
dataplane_sipinvitation,DataPlane.org IP addresses that have been seen initiating a SIP INVITE operation to a remote host. This report lists hosts that are suspicious of more than just port scanning. These hosts may be SIP client cataloging or conducting various forms of telephony abuse.
dataplane_sipquery,DataPlane.org IP addresses that has been seen initiating a SIP OPTIONS query to a remote host. This report lists hosts that are suspicious of more than just port scanning. These hosts may be SIP server cataloging or conducting various forms of telephony abuse.
dataplane_sipregistration,DataPlane.org IP addresses that have been seen initiating a SIP REGISTER operation to a remote host. This report lists hosts that are suspicious of more than just port scanning. These hosts may be SIP client cataloging or conducting various forms of telephony abuse.
dataplane_sshclient,DataPlane.org IP addresses that has been seen initiating an SSH connection to a remote host. This report lists hosts that are suspicious of more than just port scanning. These hosts may be SSH server cataloging or conducting authentication attack attempts.
dataplane_sshpwauth,DataPlane.org IP addresses that has been seen attempting to remotely login to a host using SSH password authentication. This report lists hosts that are highly suspicious and are likely conducting malicious SSH password authentication attacks.
dataplane_vncrfb,DataPlane.org IP addresses that have been seen initiating a VNC remote frame buffer (RFB) session to a remote host. This report lists hosts that are suspicious of more than just port scanning. These hosts may be VNC server cataloging or conducting various forms of remote access abuse.
dm_tor,dan.me.uk dynamic list of TOR nodes
dronebl_anonymizers,"DroneBL.org List of open proxies. It includes IPs which DroneBL categorizes as SOCKS proxies (8), HTTP proxies (9), web page proxies (11), WinGate proxies (14), proxy chains (10)."
dronebl_auto_botnets,DroneBL.org IPs of automatically detected botnets. It includes IPs for which DroneBL responds with 17.
dronebl_autorooting_worms,DroneBL.org IPs of autorooting worms. It includes IPs for which DroneBL responds with 16. These are usually SSH bruteforce attacks.
dronebl_compromised,DroneBL.org IPs of compromised routers / gateways. It includes IPs for which DroneBL responds with 15 (BOPM detected).
dronebl_ddos_drones,DroneBL.org IPs of DDoS drones. It includes IPs for which DroneBL responds with 7.
dronebl_dns_mx_on_irc,DroneBL.org List of IPs of DNS / MX hostname detected on IRC. It includes IPs for which DroneBL responds with 18.
dronebl_irc_drones,DroneBL.org List of IRC spam drones (litmus/sdbot/fyle). It includes IPs for which DroneBL responds with 3.
dronebl_unknown,DroneBL.org List of IPs of uncategorized threats. It includes IPs for which DroneBL responds with 255.
dronebl_worms_bots,DroneBL.org IPs of unknown worms or spambots. It includes IPs for which DroneBL responds with 6
dshield,DShield.org top 20 attacking class C (/24) subnets over the last three days
dshield_1d,DShield.org top 20 attacking class C (/24) subnets over the last three days
dshield_30d,DShield.org top 20 attacking class C (/24) subnets over the last three days
dshield_7d,DShield.org top 20 attacking class C (/24) subnets over the last three days
dshield_top_1000,DShield.org top 1000 attacking hosts in the last 30 days
dyndns_ponmocup,"DynDNS.org Ponmocup. The malware powering the botnet has been around since 2006 and it’s known under various names, including Ponmocup, Vundo, Virtumonde, Milicenso and Swisyn. It has been used for ad fraud, data theft and downloading additional threats to infected systems. Ponmocup is one of the largest currently active and, with nine consecutive years, also one of the longest running, but it is rarely noticed as the operators take care to keep it operating under the radar."
esentire_14072015_com,Malicious Botnet Serving Various Malware Families
esentire_14072015q_com,Malicious Botnet Serving Various Malware Families
esentire_22072014a_com,Malicious Botnet Serving Various Malware Families
esentire_22072014b_com,Malicious Botnet Serving Various Malware Families
esentire_22072014c_com,Malicious Botnet Serving Various Malware Families
esentire_atomictrivia_ru,Andromeda/Gamarue Checkin
esentire_auth_update_ru,Malicious Botnet Serving Various Malware Families
esentire_burmundisoul_ru,Ursnif Variant CnC
esentire_crazyerror_su,Malicious Botnet Serving Various Malware Families
esentire_dagestanskiiviskis_ru,Ursnif Variant CnC
esentire_differentia_ru,Malicious Botnet Serving Various Malware Families
esentire_disorderstatus_ru,Malicious Botnet Serving Various Malware Families
esentire_dorttlokolrt_com,Malicious Botnet Serving Various Malware Families
esentire_downs1_ru,Malicious Botnet Serving Various Malware Families
esentire_ebankoalalusys_ru,Ursnif Variant CnC
esentire_emptyarray_ru,Malicious Botnet Serving Various Malware Families
esentire_fioartd_com,Andromeda/Gamarue Checkin
esentire_getarohirodrons_com,Andromeda/Gamarue Checkin
esentire_hasanhashsde_ru,Ursnif Variant CnC
esentire_inleet_ru,Ursnif Variant CnC
esentire_islamislamdi_ru,Ursnif Variant CnC
esentire_krnqlwlplttc_com,Malicious Botnet Serving Various Malware Families
esentire_maddox1_ru,Malicious Botnet Serving Various Malware Families
esentire_manning1_ru,Malicious Botnet Serving Various Malware Families
esentire_misteryherson_ru,Ursnif Variant CnC
esentire_mysebstarion_ru,Ursnif Variant CnC
esentire_smartfoodsglutenfree_kz,Malicious Botnet Serving Various Malware Families
esentire_venerologvasan93_ru,Ursnif Variant CnC
esentire_volaya_ru,Win32/PSW.Papras.CK CnC
et_block,"EmergingThreats.net default blacklist (at the time of writing includes spamhaus DROP, dshield and abuse.ch trackers, which are available separately too - prefer to use the direct ipsets instead of this, they seem to lag a bit in updates)"
et_botcc,"EmergingThreats.net Command and Control IPs These IPs are updates every 24 hours and should be considered VERY highly reliable indications that a host is communicating with a known and active Bot or Malware command and control server - (although they say this includes abuse.ch trackers, it does not - check its overlaps)"
et_compromised,EmergingThreats.net compromised hosts
et_dshield,EmergingThreats.net dshield blocklist
et_spamhaus,EmergingThreats.net spamhaus blocklist
et_tor,EmergingThreats.net TOR list of TOR network IPs
feodo,Abuse.ch Feodo tracker trojan includes IPs which are being used by Feodo (also known as Cridex or Bugat) which commits ebanking fraud
feodo_badips,"Abuse.ch Feodo tracker BadIPs The Feodo Tracker Feodo BadIP Blocklist only contains IP addresses (IPv4) used as C&C communication channel by the Feodo Trojan version B. These IP addresses are usually servers rented by cybercriminals directly and used for the exclusive purpose of hosting a Feodo C&C server. Hence you should expect no legit traffic to those IP addresses. The site highly recommends you to block/drop any traffic towards any Feodo C&C using the Feodo BadIP Blocklist. Please consider that this blocklist only contains IP addresses used by version B of the Feodo Trojan. C&C communication channels used by version A, version C and version D are not covered by this blocklist."
firehol_abusers_1d,An ipset made from blocklists that track abusers in the last 24 hours. (includes: botscout_1d cleantalk_new_1d cleantalk_updated_1d php_commenters_1d php_dictionary_1d php_harvesters_1d php_spammers_1d stopforumspam_1d)
firehol_abusers_30d,An ipset made from blocklists that track abusers in the last 30 days. (includes: cleantalk_new_30d cleantalk_updated_30d php_commenters_30d php_dictionary_30d php_harvesters_30d php_spammers_30d stopforumspam sblam)
firehol_anonymous,An ipset that includes all the anonymizing IPs of the world. (includes: anonymous bm_tor dm_tor firehol_proxies tor_exits)
firehol_level1,"A firewall blacklist composed from IP lists, providing maximum protection with minimum false positives. Suitable for basic protection on all internet facing servers, routers and firewalls. (includes: bambenek_c2 dshield feodo fullbogons spamhaus_drop spamhaus_edrop sslbl zeus_badips ransomware_rw)"
firehol_level2,"An ipset made from blocklists that track attacks, during about the last 48 hours. (includes: blocklist_de dshield_1d greensnow)"
firehol_level3,"An ipset made from blocklists that track attacks, spyware, viruses. It includes IPs than have been reported or detected in the last 30 days. (includes: bruteforceblocker ciarmy dshield_30d dshield_top_1000 malc0de maxmind_proxy_fraud myip shunlist snort_ipfilter sslbl_aggressive talosintel_ipfilter zeus vxvault)"
firehol_level4,"An ipset made from blocklists that track attacks, but may include a large number of false positives. (includes: blocklist_net_ua botscout_30d cruzit_web_attacks cybercrime haley_ssh iblocklist_hijacked iblocklist_spyware iblocklist_webexploit ipblacklistcloud_top iw_wormlist malwaredomainlist)"
firehol_proxies,An ipset made from all sources that track open proxies. It includes IPs reported or detected in the last 30 days. (includes: iblocklist_proxies maxmind_proxy_fraud ip2proxy_px1lite proxylists_30d proxyrss_30d proxz_30d ri_connect_proxies_30d ri_web_proxies_30d socks_proxy_30d sslproxies_30d xroxy_30d)
firehol_webclient,An IP blacklist made from blocklists that track IPs that a web client should never talk to. This list is to be used on top of firehol_level1. (includes: ransomware_online sslbl_aggressive cybercrime dyndns_ponmocup maxmind_proxy_fraud)
